"","start_polygon_name","end_polygon_name","start_lat","start_lon","end_lat","end_lon","sum_flow","year","distance","scaled_flow"
"1","Buenos Aires","Berazategui",-34.6037,-58.3816,-34.8160161570025,-58.1241044531912,32509,"2020","<100",0.09489618038421
"2","Buenos Aires","Brandsen",-34.6037,-58.3816,-35.1761852821344,-58.2231902078391,244,"2020","<100",0.000683273522567006
"3","Buenos Aires","Campana",-34.6037,-58.3816,-34.1460497369793,-58.9141066307936,2177,"2020","<100",0.00632758001454146
"4","Buenos Aires","Cañuelas",-34.6037,-58.3816,-35.0833499889096,-58.6957097652281,26965,"2020","<100",0.0787078538495455
"5","Buenos Aires","Escobar",-34.6037,-58.3816,-34.3503324833594,-58.7855147752357,69361,"2020","<100",0.202503000271557
"6","Buenos Aires","Exaltación de la Cruz",-34.6037,-58.3816,-34.3083042571957,-59.1638211245635,11,"2020","<100",2.91997231866242e-06
"7","Buenos Aires","General Las Heras",-34.6037,-58.3816,-34.9349762057064,-58.9241027693905,142,"2020","<100",0.000385436346063439
"8","Buenos Aires","General Rodríguez",-34.6037,-58.3816,-34.6617459334335,-58.9831078897519,9504,"2020","<100",0.027722217193381
"9","Buenos Aires","La Matanza",-34.6037,-58.3816,-34.792915751928,-58.6261558208537,158520,"2020","<100",0.46284481223118
"10","Buenos Aires","La Plata",-34.6037,-58.3816,-34.9907707198378,-58.0057334649531,22437,"2020","<100",0.0654862191906421
"11","Buenos Aires","Luján",-34.6037,-58.3816,-34.5536099146648,-59.1592418108722,1626,"2020","<100",0.00471867526695847
"12","Buenos Aires","Marcos Paz",-34.6037,-58.3816,-34.8150465954305,-58.8353200871826,5471,"2020","<100",0.0159459688322155
"13","Buenos Aires","Mercedes",-34.6037,-58.3816,-34.6851186478936,-59.4273099393426,35,"2020","<100",7.29993079665605e-05
"14","Buenos Aires","Moreno",-34.6037,-58.3816,-34.640002448393,-58.8049249193669,165721,"2020","<100",0.483871532897868
"15","Buenos Aires","Pilar",-34.6037,-58.3816,-34.4466038405592,-58.9402519480834,45344,"2020","<100",0.132374025094242
"16","Buenos Aires","Presidente Perón",-34.6037,-58.3816,-34.9413016638738,-58.4203375569447,49840,"2020","<100",0.145502220638948
"17","Buenos Aires","San Vicente",-34.6037,-58.3816,-35.0871627820986,-58.4413845034248,682,"2020","<100",0.00196222139814115
"18","Buenos Aires","Tigre",-34.6037,-58.3816,-34.3812660133119,-58.6144279658052,88304,"2020","<100",0.25781603590398
"19","Buenos Aires","Zárate",-34.6037,-58.3816,-34.0217591540001,-59.1408195499672,10,"2020","<100",0
"20","Buenos Aires","Campana",-34.6037,-58.3816,-34.1460497369793,-58.9141066307936,10,"2020","100+",0
"21","Buenos Aires","General Pueyrredón",-34.6037,-58.3816,-38.0174331619883,-57.6035742987366,10,"2020","100+",0
"22","Buenos Aires","Rosario",-34.6037,-58.3816,-32.9989547358845,-60.723038943909,48,"2020","100+",0.000110958948109172
"23","Buenos Aires","San Pedro",-34.6037,-58.3816,-33.713429550024,-59.7119626741622,10,"2020","100+",0
"24","Buenos Aires","Berazategui",-34.6037,-58.3816,-34.8160161570025,-58.1241044531912,64737,"2022","<100",0.189001048270062
"25","Buenos Aires","Brandsen",-34.6037,-58.3816,-35.1761852821344,-58.2231902078391,2445,"2022","<100",0.00711013259594299
"26","Buenos Aires","Campana",-34.6037,-58.3816,-34.1460497369793,-58.9141066307936,14577,"2022","<100",0.0425352367659555
"27","Buenos Aires","Cañuelas",-34.6037,-58.3816,-35.0833499889096,-58.6957097652281,63780,"2022","<100",0.186206634761102
"28","Buenos Aires","Chascomús",-34.6037,-58.3816,-35.5318948142852,-58.0415287450452,284,"2022","<100",0.000800072415313503
"29","Buenos Aires","Escobar",-34.6037,-58.3816,-34.3503324833594,-58.7855147752357,164231,"2022","<100",0.479520774143061
