"","start_polygon_name","end_polygon_name","sum_flow","start_lat","start_lon","end_lat","end_lon","year","distance","scaled_flow"
"1","Santiago","Cachapoal",19215,-33.447487,-70.673676,-34.2659311245814,-70.8184700323615,"2020","<100",0.036624622883667
"2","Santiago","Chacabuco",159386,-33.447487,-70.673676,-33.168827329856,-70.7753475638362,"2020","<100",0.303935740521078
"3","Santiago","Cordillera",355692,-33.447487,-70.673676,-33.653170071901,-70.3108291840964,"2020","<100",0.67829831379893
"4","Santiago","Los Andes",2554,-33.447487,-70.673676,-32.8452515780879,-70.418752568357,"2020","<100",0.00485149912085649
"5","Santiago","Maipo",271443,-33.447487,-70.673676,-33.7680630034697,-70.7465994703954,"2020","<100",0.517632453172736
"6","Santiago","Melipilla",30702,-33.447487,-70.673676,-33.6902788767698,-71.2054621953955,"2020","<100",0.0585307433244211
"7","Santiago","Quillota",2417,-33.447487,-70.673676,-32.8559043775615,-71.2203785103692,"2020","<100",0.00459023521379779
"8","Santiago","San Antonio",5298,-33.447487,-70.673676,-33.5928945865535,-71.5945221713344,"2020","<100",0.0100844054053023
"9","Santiago","San Felipe de Aconcagua",2817,-33.447487,-70.673676,-32.6985450709613,-70.7363182118708,"2020","<100",0.00535304954097648
"10","Santiago","Talagante",82012,-33.447487,-70.673676,-33.6913341172744,-70.9284817400329,"2020","<100",0.156380751143268
"11","Santiago","Valparaíso",13507,-33.447487,-70.673676,-33.0804351139577,-71.6391376389987,"2020","<100",0.0257392624348271
"12","Santiago","Antofagasta",838,-33.447487,-70.673676,-23.9963241374089,-69.7905295747681,"2020","100+",0.00157902565725989
"13","Santiago","Arica",16,-33.447487,-70.673676,-18.5538847493538,-70.0563859926157,"2020","100+",1.14422149076804e-05
"14","Santiago","Bío-Bío",256,-33.447487,-70.673676,-37.511712814145,-72.119045946374,"2020","100+",0.000469130811214896
"15","Santiago","Cachapoal",614,-33.447487,-70.673676,-34.2659311245814,-70.8184700323615,"2020","100+",0.00115184963403983
"16","Santiago","Choapa",80,-33.447487,-70.673676,-31.7949818165894,-71.2368265468676,"2020","100+",0.000133492507256271
"17","Santiago","Colchagua",1236,-33.447487,-70.673676,-34.6676983257274,-71.0583763298747,"2020","100+",0.00233802591280269
"18","Santiago","Concepción",884,-33.447487,-70.673676,-36.8696242235222,-72.9808080016231,"2020","100+",0.00166674930488544
"19","Santiago","Curicó",1792,-33.447487,-70.673676,-35.0580710601757,-71.1798679333634,"2020","100+",0.00339833782758108
"20","Santiago","El Loa",480,-33.447487,-70.673676,-22.6713655850097,-68.5790593313056,"2020","100+",0.000896306834434964
"21","Santiago","Iquique",45,-33.447487,-70.673676,-20.4992429162296,-70.0452319938084,"2020","100+",6.67462536281356e-05
"22","Santiago","Linares",405,-33.447487,-70.673676,-35.9540608235366,-71.5494593735065,"2020","100+",0.000753279148088959
"23","Santiago","Llanquihue",10,-33.447487,-70.673676,-41.4283974675497,-72.8455890936794,"2020","100+",0
"24","Santiago","Magallanes",28,-33.447487,-70.673676,-53.1287438848423,-71.3173390470963,"2020","100+",3.43266447230412e-05
"25","Santiago","Petorca",687,-33.447487,-70.673676,-32.352222042476,-71.1884694872911,"2020","100+",0.00129106324874994
"26","Santiago","Quillota",48,-33.447487,-70.673676,-32.8559043775615,-71.2203785103692,"2020","100+",7.24673610819758e-05
"27","Santiago","San Antonio",110,-33.447487,-70.673676,-33.5928945865535,-71.5945221713344,"2020","100+",0.000190703581794673
"28","Santiago","Talca",2568,-33.447487,-70.673676,-35.4414180186707,-71.5454832142103,"2020","100+",0.00487819762230774
"29","Santiago","Valparaíso",4141,-33.447487,-70.673676,-33.0804351139577,-71.6391376389987,"2020","100+",0.00787796496393795
"30","Santiago","Ñuble",150,-33.447487,-70.673676,-36.628310908559,-72.0488775957906,"2020","100+",0.000266985014512543
"31","Santiago","Cachapoal",47094,-33.447487,-70.673676,-34.2659311245814,-70.8184700323615,"2022","<100",0.089790874452204
"32","Santiago","Chacabuco",234921,-33.447487,-70.673676,-33.168827329856,-70.7753475638362,"2022","<100",0.447983691029685
"33","Santiago","Cordillera",524384,-33.447487,-70.673676,-33.653170071901,-70.3108291840964,"2022","<100",1
"34","Santiago","Los Andes",9745,-33.447487,-70.673676,-32.8452515780879,-70.418752568357,"2022","<100",0.0185649936877114
"35","Santiago","Maipo",378162,-33.447487,-70.673676,-33.7680630034697,-70.7465994703954,"2022","<100",0.721149408628193
"36","Santiago","Melipilla",53586,-33.447487,-70.673676,-33.6902788767698,-71.2054621953955,"2022","<100",0.102171350982314
"37","Santiago","Quillota",10296,-33.447487,-70.673676,-32.8559043775615,-71.2203785103692,"2022","<100",0.0196157704234001
"38","Santiago","San Antonio",23289,-33.447487,-70.673676,-33.5928945865535,-71.5945221713344,"2022","<100",0.044393886805982
"39","Santiago","San Felipe de Aconcagua",9381,-33.447487,-70.673676,-32.6985450709613,-70.7363182118708,"2022","<100",0.0178708326499788
"40","Santiago","Talagante",125939,-33.447487,-70.673676,-33.6913341172744,-70.9284817400329,"2022","<100",0.240151113518214
"41","Santiago","Valparaíso",40649,-33.447487,-70.673676,-33.0804351139577,-71.6391376389987,"2022","<100",0.0775000286055373
"42","Santiago","Antofagasta",3739,-33.447487,-70.673676,-23.9963241374089,-69.7905295747681,"2022","100+",0.00711133656512337
"43","Santiago","Arica",790,-33.447487,-70.673676,-18.5538847493538,-70.0563859926157,"2022","100+",0.00148748793799845
"44","Santiago","Bío-Bío",886,-33.447487,-70.673676,-37.511712814145,-72.119045946374,"2022","100+",0.00167056337652134
"45","Santiago","Cachapoal",5520,-33.447487,-70.673676,-34.2659311245814,-70.8184700323615,"2022","100+",0.0105077673568865
"46","Santiago","Cardenal Caro",1470,-33.447487,-70.673676,-34.2947646661913,-71.9336650319343,"2022","100+",0.00278427229420223
"47","Santiago","Cauquenes",65,-33.447487,-70.673676,-35.9601909278464,-72.333984375,"2022","100+",0.00010488696998707
"48","Santiago","Cautín",1147,-33.447487,-70.673676,-38.8438007376842,-72.5337877914859,"2022","100+",0.00216829972500543
"49","Santiago","Choapa",551,-33.447487,-70.673676,-31.7949818165894,-71.2368265468676,"2022","100+",0.00103170637750918
"50","Santiago","Coihaique",97,-33.447487,-70.673676,-45.5217101969637,-72.01171875,"2022","100+",0.000165912116161366
"51","Santiago","Colchagua",8797,-33.447487,-70.673676,-34.6676983257274,-71.0583763298747,"2022","100+",0.0167571237322979
"52","Santiago","Concepción",6155,-33.447487,-70.673676,-36.8696242235222,-72.9808080016231,"2022","100+",0.0117187351012827
"53","Santiago","Copiapó",50,-33.447487,-70.673676,-27.3355307532096,-70.3740234375,"2022","100+",7.62814327178693e-05
"54","Santiago","Curicó",7011,-33.447487,-70.673676,-35.0580710601757,-71.1798679333634,"2022","100+",0.0133511577614451
"55","Santiago","El Loa",2324,-33.447487,-70.673676,-22.6713655850097,-68.5790593313056,"2022","100+",0.00441288088272874
"56","Santiago","Huasco",32,-33.447487,-70.673676,-28.5362462218662,-70.751953125,"2022","100+",4.19547879948281e-05
"57","Santiago","Iquique",1282,-33.447487,-70.673676,-20.4992429162296,-70.0452319938084,"2022","100+",0.00242574956042824
"58","Santiago","Linares",2741,-33.447487,-70.673676,-35.9540608235366,-71.5494593735065,"2022","100+",0.00520811481881253
"59","Santiago","Llanquihue",1124,-33.447487,-70.673676,-41.4283974675497,-72.8455890936794,"2022","100+",0.00212443790119266
"60","Santiago","Magallanes",1456,-33.447487,-70.673676,-53.1287438848423,-71.3173390470963,"2022","100+",0.00275757379275098
